"","lambda"
"1",0.5
"2",0.5
"3",2
"4",1
"5",0.5
"6",0.5
"7",1.5
"8",0
"9",0.5
"10",1
"11",2.5
"12",3
"13",2
"14",1
"15",1
"16",3.5
"17",0.5
"18",1
"19",0.5
"20",1
"21",4.5
"22",5
"23",2.5
"24",0.5
"25",2
"26",3
"27",2
"28",1
"29",1
"30",1
"31",1
"32",0.5
"33",1
"34",2.5
"35",0.5
"36",0.5
"37",0.5
"38",0
"39",0
"40",4
"41",0.5
"42",1
"43",0
"44",2
"45",3.5
"46",1.5
"47",2
"48",0.5
"49",0.5
"50",1
"51",0.5
"52",1
"53",2.5
"54",0.5
"55",2.5
"56",1.5
"57",1
"58",3.5
"59",1
"60",1
"61",1
"62",1
"63",0.5
"64",4.5
"65",0.5
"66",1
"67",0
"68",0
"69",1
"70",1
"71",0
"72",1
"73",4
"74",0
"75",0.5
"76",0
"77",1.5
"78",1.5
"79",0.5
"80",0.5
"81",2
"82",0.5
"83",1
"84",0.5
"85",0.5
"86",0
"87",0.5
"88",1
"89",2.5
"90",0.5
"91",1
"92",0.5
"93",0
"94",3.5
"95",0.5
"96",0.5
"97",0
"98",3
"99",1
"100",0
