State,Gini Coefficient,Industry1	,Industry2,Industry3,Industry4,Industry5,Industry6,Industry7,Industry8,Industry9,Industry10,Industry11,Industry12,Industry13,Industry14,Industry15,Industry16
North Carolina,0.4743,0.006773439,0.001019036,0.015450517,0.04028134,0.175329047,0.059149121,0.052777429,0.024699669,0.035611895,0.207462587,0.12479108,0.081829529,0.039153412,0.021148661,0.019433471,0.095089766
North Dakota,0.4558,0.048592492,0.112916953,0.026325375,0.060154264,0.073933508,0.083547884,0.053732834,0.05380213,0.025372999,0.167918437,0.057636509,0.088364845,0.028784495,0.018443398,0.013439872,0.087034007
Ohio,0.4651,0.004513776,0.015919621,0.015997614,0.038641885,0.162223769,0.063375915,0.057076684,0.033282626,0.025896551,0.208550968,0.116466833,0.097322714,0.036831686,0.021505191,0.017652984,0.084741181
Oklahoma,0.4739,0.014116376,0.109807478,0.021593679,0.038130378,0.095071214,0.050803696,0.056711453,0.070298791,0.028595149,0.137917257,0.089454579,0.0794651,0.035755229,0.022146308,0.032174436,0.117958878
Oregon,0.45,0.01710686,0.001112442,0.01188028,0.047438102,0.13589622,0.053725337,0.049724657,0.028874473,0.03804362,0.210495064,0.122203774,0.093837688,0.044364457,0.021920722,0.017858371,0.105517934
Pennsylvania,0.4745,0.00435301,0.020813177,0.015631578,0.043149323,0.114676267,0.055769724,0.049454247,0.040309848,0.062564551,0.186069252,0.133016341,0.123961579,0.035921455,0.022497296,0.018931781,0.072880571
Rhode Island,0.4628,0.001773026,0.000570724,0.016069079,0.042598684,0.082580592,0.057445724,0.0561875,0.016825658,0.023911184,0.237628289,0.128256579,0.138462171,0.052546053,0.022495066,0.029467105,0.093182566
South Carolina,0.4747,0.004408302,0.002094098,0.023962815,0.053896071,0.165655068,0.061368997,0.065822555,0.024753964,0.031278169,0.172881557,0.110101821,0.073118161,0.049980232,0.023927433,0.019327001,0.117423758
South Dakota,0.436,0.061411106,0.002305813,0.017058232,0.039866285,0.09415585,0.06708186,0.066403355,0.023370715,0.025424617,0.276366525,0.061098516,0.104419842,0.038489049,0.021495174,0.019402658,0.081650403
Tennessee,0.4749,0.00366086,0.002344368,0.005919683,0.041053758,0.145126435,0.066916427,0.066749867,0.04681381,0.029669569,0.172060685,0.119183018,0.108594053,0.058729127,0.025788849,0.026949707,0.080439783
Texas,0.4753,0.005233832,0.079386907,0.017287836,0.052763067,0.131896365,0.079248774,0.053089682,0.037698874,0.03523618,0.164881977,0.120700384,0.069639952,0.034752934,0.020404416,0.016355275,0.081423545
Utah,0.4268,0.005424274,0.014126588,0.013418687,0.063144172,0.105524984,0.050816942,0.068366189,0.036050047,0.050729961,0.229076563,0.11545499,0.072235805,0.036090917,0.026639832,0.027284855,0.085615193
Vermont,0.4471,0.013605382,0.00516005,0.019865454,0.033222444,0.092916389,0.050870112,0.074733496,0.017106528,0.025906705,0.187027427,0.106781992,0.14053079,0.069070747,0.024079249,0.031658165,0.10746507
Virginia,0.469,0.003159814,0.002891964,0.015179178,0.041809238,0.085154237,0.04513129,0.050986557,0.027793476,0.036521895,0.204141808,0.201469265,0.0759758,0.035243552,0.0260504,0.063252351,0.085239175
Washington,0.4577,0.012833437,0.000733731,0.007739799,0.044180738,0.107770725,0.051016058,0.084414963,0.028195843,0.141527487,0.179972095,0.104935306,0.067515673,0.038312871,0.019310736,0.021442507,0.090098033
West Virginia,0.4644,0.004548768,0.098031119,0.028893409,0.051282934,0.101228894,0.05042518,0.067009258,0.029068019,0.018458899,0.136938446,0.083528335,0.114543823,0.039222134,0.021117552,0.044462967,0.111240263
Wisconsin,0.4391,0.014183958,0.004565605,0.015647682,0.042218791,0.186148952,0.059730987,0.05476861,0.029633684,0.037246086,0.200037124,0.097913776,0.099326147,0.032066818,0.022326823,0.012141858,0.092043098
Wyoming,0.4345,0.018676439,0.175732636,0.026388663,0.05691486,0.054525897,0.038708709,0.052024365,0.104281372,0.01644007,0.143140173,0.052219484,0.047946867,0.042731173,0.016537629,0.023834599,0.129897062
