"","lambda"
"1",2
"2",0.5
"3",4
"4",5
"5",1
"6",0.5
"7",0.5
"8",0.5
"9",0.5
"10",0.5
"11",2
"12",1.5
"13",1.5
"14",0.5
"15",0.5
"16",2
"17",0.5
"18",0
"19",3.5
"20",5
"21",3.5
"22",1
"23",0
"24",2
"25",0.5
"26",2
"27",0
"28",1
"29",0.5
"30",0.5
"31",3.5
"32",0.5
"33",0.5
"34",0
"35",1
"36",3.5
"37",0.5
"38",1
"39",0.5
"40",2
"41",0.5
"42",1.5
"43",3.5
"44",1.5
"45",2
"46",0.5
"47",2.5
"48",1.5
"49",3
"50",2
"51",0.5
"52",1
"53",1
"54",1
"55",0.5
"56",0
"57",4.5
"58",1
"59",0.5
"60",1.5
"61",0.5
"62",1.5
"63",1
"64",3
"65",3
"66",0
"67",1
"68",0.5
"69",0.5
"70",1
"71",0.5
"72",4.5
"73",0.5
"74",2
"75",1.5
"76",0.5
"77",0.5
"78",0.5
"79",0.5
"80",1.5
"81",3
"82",3.5
"83",3
"84",1
"85",1.5
"86",2.5
"87",0
"88",0.5
"89",0.5
"90",0
"91",1
"92",0
"93",1.5
"94",2.5
"95",0
"96",3.5
"97",0.5
"98",0.5
"99",1.5
"100",1
